,imdbID,imdbActorID,ActorName,tmdbActorID,tmdbActorName,Gender
171,tt0119802,nm0001459,Denis Leary,5724,Denis Leary,2
172,tt0119802,nm0001324,Ian Hart,10985,Ian Hart,2
173,tt0119802,nm0058029,Jason Barry,8541,Jason Barry,2
174,tt3013610,nm0125540,Margherita Buy,67323,Margherita Buy,1
175,tt3013610,nm0001806,John Turturro,1241,John Turturro,2
176,tt3013610,nm0493980,Giulia Lazzarini,1178410,Giulia Lazzarini,1
177,tt0113967,nm0179982,Shar-Ron Corley,122712,Sharron Corley,2
178,tt0113967,nm0144133,Gabriel Casseus,18272,Gabriel Casseus,2
179,tt0113967,nm0825627,Saul Stein,1187,Saul Stein,2
180,tt0323807,nm0072768,Fabrizio Bentivoglio,121732,Fabrizio Bentivoglio,2
181,tt0323807,nm0603090,Laura Morante,56654,Laura Morante,1
182,tt0323807,nm1238739,Nicoletta Romanoff,121733,Nicoletta Romanoff,1
183,tt0080764,nm0825231,Bernice Stegers,70961,Bernice Stegers,1
184,tt0080764,nm0597167,Stanko Molnar,564787,Stanko Molnar,0
185,tt0080764,nm0957049,Veronica Zinny,1484692,Veronica Zinny,0
186,tt0073756,nm0002002,Shin'ichi Chiba,2537,Shin'ichi Chiba,2
187,tt0073756,nm0945214,Goichi Yamada,1168048,Goichi Yamada,2
188,tt0073756,nm0620073,Yutaka Nakajima,127833,Yutaka Nakajima,1
189,tt4975280,nm1492922,Károly Hajduk,1093037,Károly Hajduk,0
191,tt4975280,nm0029771,Zsolt Anger,131215,Zsolt Anger,2
192,tt0092796,nm0001421,George Kennedy,12950,George Kennedy,2
193,tt0092796,nm0001042,Lois Chiles,10475,Lois Chiles,1
196,tt2184331,nm4884137,Anailín de la Rúa de la Torre,1189617,Analin de la Rua de la Torre,0
197,tt2184331,nm4884095,Javier Núñez Florián,1189618,Javier Nunez Florian,0
201,tt0023582,nm0002050,Irene Dunne,77158,Irene Dunne,1
202,tt0023582,nm0007220,Ricardo Cortez,83476,Ricardo Cortez,2
203,tt0023582,nm0260728,Jill Esmond,122910,Jill Esmond,1
204,tt0417189,nm0693799,Melvil Poupaud,26100,Melvil Poupaud,2
205,tt0417189,nm0603402,Jeanne Moreau,14812,Jeanne Moreau,1
206,tt0417189,nm0116254,Valeria Bruni Tedeschi,5077,Valeria Bruni‑Tedeschi,1
207,tt0091630,nm0515128,Jason Lively,69345,Jason Lively,2
208,tt0091630,nm0040662,Tom Atkins,11784,Tom Atkins,2
209,tt0091630,nm0551185,Steve Marshall,83095,Steve Marshall,2
210,tt0037449,nm0000057,David Niven,14261,David Niven,2
211,tt0037449,nm0391361,Stanley Holloway,12727,Stanley Holloway,2
212,tt0037449,nm0232019,James Donald,12250,James Donald,2
213,tt0049405,nm0001072,Joseph Cotten,7664,Joseph Cotten,2
214,tt0049405,nm0281766,Rhonda Fleming,10160,Rhonda Fleming,1
215,tt0049405,nm0179819,Wendell Corey,7683,Wendell Corey,2
216,tt2017038,nm0000602,Robert Redford,4135,Robert Redford,2
218,tt1034427,nm0899631,Galina Vishnevskaya,150017,Galina Vishnevskaya,1
219,tt1034427,nm2667568,Vasily Shevtsov,150018,Vasily Shevtsov,0
220,tt1034427,nm2668450,Raisa Gichaeva,150019,Raisa Gichaeva,0
221,tt4120176,nm0001376,Isabelle Huppert,17882,Isabelle Huppert,1
222,tt4120176,nm0545838,André Marcon,55805,André Marcon,2
223,tt4120176,nm1007411,Roman Kolinka,1186111,Roman Kolinka,0
224,tt0038343,nm0000472,Boris Karloff,2922,Boris Karloff,2
225,tt0038343,nm0496819,Anna Lee,88460,Anna Lee,1
226,tt0038343,nm0396633,Billy House,85737,Billy House,2
227,tt0105378,nm0000095,Woody Allen,1243,Woody Allen,2
228,tt0105378,nm0001201,Mia Farrow,12021,Mia Farrow,1
229,tt0105378,nm0456194,Michael Kirby,93568,Michael Kirby,2
230,tt12564514,nm2983400,Natasa Stork,1056165,Natasa Stork,1
231,tt12564514,nm0091117,Viktor Bodó,1036393,Viktor Bodó,0
232,tt12564514,nm3132995,Benett Vilmányi,1182361,Benett Vilmányi,0
233,tt1797396,nm1727951,André Sjöberg,6327,André Sjöberg,0
234,tt1797396,nm0909412,Martin Wallström,213486,Martin Wallström,2
235,tt1797396,nm0718194,Antti Reini,232400,Antti Reini,2
236,tt0072204,nm0000901,Jean-Paul Belmondo,3829,Jean-Paul Belmondo,2
237,tt0072204,nm0000964,Charles Boyer,29519,Charles Boyer,2
238,tt0072204,nm0673749,François Périer,27440,François Périer,2
239,tt0142239,nm0637586,Masako Nozawa,90496,Masako Nozawa,1
240,tt0142239,nm0849028,Mayumi Tanaka,65510,Mayumi Tanaka,1
241,tt0142239,nm0476223,Takeshi Kusao,1686,Takeshi Kusao,2
242,tt0113292,nm0000334,Chow Yun-Fat,1619,Chow Yun-Fat,2
243,tt0113292,nm0948112,Cecilia Yip,83696,Cecilia Yip,1
245,tt0100623,nm0380213,Meredyth Herold,17586,Meredyth Herold,1
246,tt0100623,nm0857012,Panos Thanassoulis,17588,Panos Thanassoulis,2
247,tt0100623,nm0885091,Michele Valley,17587,Michele Valley,1
248,tt0220016,nm0010593,Mina Adamaki,82503,Mina Adamaki,1
249,tt0220016,nm0031440,Alexandros Antonopoulos,82504,Alexandros Antonopoulos,2
250,tt0220016,nm0340128,Kostas Grekas,2001807,Kostas Grekas,2
251,tt0113971,nm0668640,Cezary Pazura,83266,Cezary Pazura,2
252,tt0113971,nm0464945,Marek Kondrat,2830,Marek Kondrat,2
