imdbID,tmdbID,Genre
tt4795546,380623,Drama
tt4795546,380623,Thriller
tt9675716,586291,Drama
tt9675716,586291,Action
tt9675716,586291,Thriller
tt0337578,39839,Drama
tt4547938,412595,Drama
tt0033868,38770,Comedy
tt0265349,2637,Drama
tt0265349,2637,Horror
tt0265349,2637,Mystery
tt1937390,258216,Drama
tt0155278,84508,Horror
tt0106489,1607,Drama
tt0106489,1607,Crime
tt1303828,34769,Drama
tt1303828,34769,Action
tt1303828,34769,Comedy
tt1303828,34769,Crime
tt4560436,347375,Action
tt4560436,347375,Thriller
tt2910814,242095,Thriller
tt2910814,242095,Science Fiction
tt0238924,16857,Comedy
tt0238924,16857,Drama
tt0381690,1540,Drama
tt0381690,1540,Romance
tt0067525,11234,Science Fiction
tt0067525,11234,Action
tt0067525,11234,Drama
tt0067525,11234,Thriller
tt0095690,11191,Comedy
tt0095690,11191,Drama
tt0095690,11191,Romance
tt0974554,11671,Drama
tt0974554,11671,Romance
tt1971571,140554,Music
tt1971571,140554,Comedy
tt3460252,273248,Crime
tt3460252,273248,Drama
tt3460252,273248,Mystery
tt3460252,273248,Western
tt0421239,11460,Horror
tt0421239,11460,Thriller
tt0108174,10442,Comedy
tt0108174,10442,Crime
tt0108174,10442,Romance
tt0091575,33055,Action
tt0091575,33055,Mystery
tt0091575,33055,Thriller
tt3152602,283704,Drama
tt3152602,283704,History
tt6485304,438373,Music
tt6485304,438373,Drama
tt6485304,438373,Mystery
tt1386691,457962,Thriller
tt1386691,457962,Crime
tt1386691,457962,Drama
tt1386691,457962,Mystery
tt0110729,527,Drama
tt0439815,9035,Horror
tt0439815,9035,Science Fiction
tt0439815,9035,Comedy
tt0103186,2441,Drama
tt0034272,43798,Drama
tt0034272,43798,History
tt0034272,43798,Romance
tt0034272,43798,War
tt0105789,61418,Drama
tt0122565,47713,Comedy
tt0122565,47713,Romance
tt0122565,47713,Drama
tt1563738,51828,Drama
tt1563738,51828,Romance
tt0472033,12244,Action
tt0472033,12244,Adventure
tt0472033,12244,Animation
tt0472033,12244,Science Fiction
tt0472033,12244,Thriller
tt3672840,300168,Action
tt3672840,300168,Drama
tt3672840,300168,Adventure
tt6952604,457842,Drama
