imdbID,imdbDirectorID,DirectorName,tmdbDirectorID,Gender
tt0022694,nm0726166,Leni Riefenstahl,10139,1
tt0435651,nm0637518,Phillip Noyce,13015,2
tt5369484,nm4357944,Anne Zohra Berrached,1157380,1
tt1233381,nm0149196,Nuri Bilge Ceylan,56214,2
tt0468489,nm0281396,Ryan Fleck,53068,2
tt0988595,nm0281945,Anne Fletcher,29214,1
tt0044811,nm0000005,Ingmar Bergman,6648,2
tt0068718,nm0946811,Peter Yates,12804,2
tt0082045,nm0826642,Steno,67924,2
tt1343046,nm0945506,Yasuichirô Yamamoto,101915,2
tt0064747,nm0381638,Gordon Hessler,82505,2
tt0208032,nm0865573,Ricky Tognazzi,105114,2
tt1609168,nm1069826,Gautham Vasudev Menon,120953,2
tt0043625,nm0077587,John Berry,94169,2
tt1895587,nm0565336,Tom McCarthy,17867,2
tt3661798,nm4772133,July Jung,1312149,1
tt0236019,nm0855300,Jonathan Teplitzky,97942,2
tt3077108,nm3034178,Desiree Akhavan,1285174,1
tt1566601,nm1108967,Christos Dimas,936794,2
tt0042053,nm0712947,Nicholas Ray,2765,2
tt0117008,nm0000362,Danny DeVito,518,2
tt0038268,nm0000041,Akira Kurosawa,5026,2
tt0408777,nm0918326,Hans Weingartner,3722,2
tt0197042,nm0441525,Dinos Katsouridis,1126411,2
tt7545566,nm1145920,Crystal Moselle,1393833,1
tt0021409,nm0163229,René Clair,33166,2
tt0114916,nm0005390,Patricia Rozema,55439,1
tt0326450,nm0495536,Nikolay Lebedev,93550,2
tt4048668,nm1519639,Adam Nee,174313,2
tt3090670,nm0679662,Jennifer Phang,586110,1
tt2584018,nm0184027,Peter Cousens,216015,2
tt1280558,nm3109770,Neeraj Pandey,123219,2
tt0054345,nm0703689,Richard Quine,18907,2
tt1464580,nm0585344,Jim Mickle,87082,2
tt2063781,nm1242054,James Ponsoldt,930710,2
tt0085267,nm0001962,Lizzie Borden,147227,1
tt0042898,nm0670874,Anthony Pelissier,592252,2
tt2392326,nm0585011,Roger Michell,7017,2
tt0047136,nm0712947,Nicholas Ray,2765,2
tt1891974,nm0586281,Takashi Miike,17282,2
tt2472432,nm0775090,Dave Schram,568662,2
tt3433632,nm1595335,Frédéric Tellier,1014557,2
tt5073642,nm0822582,Richard Stanley,42175,2
tt0060438,nm0504513,Richard Lester,10586,2
tt0068638,nm0001603,Sam Peckinpah,7767,2
tt0050112,nm0718467,Allen Reisner,151294,2
tt4080728,nm0391502,Hannes Holm,556711,2
tt0419749,nm0001486,Sidney Lumet,39996,2
tt4686844,nm0406334,Armando Iannucci,88926,2
tt8722346,nm2027419,Melina Matsoukas,1609935,1
tt0083611,nm0841456,Bob Swaim,129692,2
tt4714782,nm0000801,Olivier Assayas,21678,2
tt0025586,nm0188669,John Cromwell,31497,2
tt1691323,nm0718125,Athina Rachel Tsangari,236884,1
tt3508840,nm0396284,Hsiao-Hsien Hou,64992,2
tt0253616,nm0862605,Kartal Tibet,121422,2
tt4225622,nm0629334,McG,36425,2
tt0102816,nm0477102,Stanley Kwan,96861,2
tt2331047,nm0657372,Mark Palansky,53525,2
tt0089927,nm0000230,Sylvester Stallone,16483,2
tt0064793,nm0000005,Ingmar Bergman,6648,2
tt1542482,nm0453707,Tae-yong Kim,939128,2
tt0119715,nm0893659,Gore Verbinski,1704,2
tt3316384,nm2965829,Niki Iliev,1116945,2
tt0435625,nm0551076,Neil Marshall,57581,2
tt5918028,nm1226290,Sung-su Kim,17119,2
tt0420238,nm0271402,Sam Fell,58897,2
tt0204946,nm0715636,Peyton Reed,59026,2
tt8130968,nm1223910,Sujoy Ghosh,95510,2
tt2375574,nm1296554,Ben Wheatley,137467,2
tt4315956,nm1252754,Jin-pyo Park,568019,2
tt7763020,nm1531700,Aleksey German Jr.,72195,2
tt2082180,nm0814271,Il-gon Song,557418,2
tt0954981,nm1580671,Jon S. Baird,76965,2
tt0038151,nm0627087,Kurt Neumann,70565,2
tt2639336,nm0001403,Neil Jordan,17016,2
tt1891755,nm3442103,Chakri Toleti,93195,2
tt0104770,nm0939147,Jing Wong,548474,2
tt3890264,nm1928500,Hao Ning,17295,2
tt0099740,nm0822582,Richard Stanley,42175,2
tt0393109,nm0426059,Rian Johnson,67367,2
tt0111689,nm0006888,Tom Noonan,119232,2
tt4537896,nm1312919,Yann Demange,208527,2
tt1954598,nm1834891,Maneesh Sharma,224221,2
tt0063876,nm0651915,Nagisa Ôshima,46230,2
tt6040662,nm0264236,Richard Eyre,36693,2
tt0251756,nm0890060,Ram Gopal Varma,76813,2
tt1224366,nm1290515,Antonio Campos,56369,2
tt10375682,nm0381305,Ed Herzog,219492,2
tt0029557,nm0654868,Yasujirô Ozu,95501,2
tt0285742,nm0286975,Marc Forster,12995,2
tt0115710,nm0706182,Bob Rafelson,19450,2
tt1466054,nm0280396,Thom Fitzgerald,229519,2
tt0023694,nm0356931,Victor Halperin,90064,2
tt0053354,nm0859387,Ralph Thomas,21598,2
tt0063715,nm0000019,Federico Fellini,4415,2
tt0063715,nm0001501,Louis Malle,15389,2
tt0063715,nm0671862,Roger Vadim,53767,2
tt1361349,nm0005917,Joseph Vilsmaier,14614,2
tt0094888,nm0001348,Werner Herzog,6818,2
tt0950739,nm0282425,Peter Flinth,75043,2
tt0058238,nm0934013,Richard Wilson,96159,2
tt0255713,nm0070867,Shyam Benegal,114636,2
tt0104025,nm0785684,Coline Serreau,35208,1
tt0920459,nm0079578,Antoinette Beumer,226608,1
