tmdb_id,imdb_id,title,production_companies
80243,tt0318025,Unknown Pleasures,"T-Mark, Hu Tong Communications, Lumen Films, Office Kitano"
20848,tt0066565,The White Sun of the Desert,"Lenfilm, Mosfilm"
629017,tt11456054,Run Hide Fight,"Cinestate, Rebeller, Bonfire Legend"
80856,tt0907619,Arjun,
471707,tt8649186,Corpus Christi,"Aurum Film, Les Contes Modernes, WFS Walter Film Studio, ITI Neovision, Podkarpackie Film Commission, Canal+, PISF"
58194,tt1550524,White Irish Drinkers,Annus Mirabilis Inc.
77985,tt0087682,Maria's Lovers,Cannon Group
33135,tt0109855,Fun,"Neo Modern, Greycat Films/Neo Modern Entertainment"
36800,tt0985058,Metropia,"Atmo Media Network, Zentropa Entertainments"
36350,tt0360674,Interview,"Shooting Star Filmcompany, Column Productions"
546230,tt9063106,Paskal,GSC Movies
41477,tt0143348,Lone Wolf and Cub: Baby Cart in Peril,"Toho Co., Katsu Production Co. Ltd."
78071,tt0070116,Successive Slidings of Pleasure,"S.N.E.T.C., Cosefa"
317467,tt3102208,Selfie,"Zazu Film, MediaPro Entertainment"
49681,tt0366137,Lost Embrace,
32241,tt0277615,Bug,
8963,tt0112740,Crimson Tide,"Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films"
48203,tt0074400,The Desert of the Tartars,"Fildebroc, Cinema Due, Les Films de l'Astrophore, France 3 Cinéma, Reggane Films, FIDCI, Corona Filmproduktion, Istituto Luce Cinecittà"
99977,tt0079308,Hot Stuff,Rastar Productions
638965,tt10375106,Mandibles,"Chi-Fou-Mi Productions, Artémis Productions, Memento Films Production, WTFilms, Wild Bunch, Canal+, OCS, Taxshelter. be, C8 Films, VOO, BeTV, Shelter Prod, C8, Cinémage 14, Cofinova 16, SofiTVciné 7, Indéfilms 8, Cinéaxe, Tax Shelter du Gouvernement Fédéral Belge"
47144,tt0169145,Cabaret Balkan,"MACT Productions, Eurimages, Ministère de la culture, Canal (II), Vans, Mine Film, Stefi S.A., Gradski Kina, Ticket Productions"
35690,tt1294226,The Last Song,Touchstone Pictures
20861,tt0212604,Tully,
29007,tt1188992,The House of Branching Love,Marianna Films
187962,tt2667550,Çanakkale: Yolun Sonu,Fono Film
44087,tt0038238,The Way to the Stars,"Two Cities Films, United Artists"
116753,tt0396962,Shwaas,
459722,tt6200656,Kammara Sambhavam,Sree Gokulam Movies
