imdbID,imdbActorID,ActorName
tt0107209,nm0004486,Bruno Ganz
tt0107209,nm0000393,Peter Falk
tt0419058,nm0474774,Akshay Kumar
tt0419058,nm0792911,Sunil Shetty
tt0419058,nm0712546,Paresh Rawal
tt5204020,nm0667904,Serban Pavlu
tt5204020,nm3875677,Ivana Mladenovic
tt5204020,nm0816637,Gabriel Spahiu
tt0372478,nm1404509,Irina Pegova
tt0372478,nm1401556,Pavel Barshak
tt0372478,nm1142921,Evgeniy Tsyganov
tt4981636,nm3838034,Griffin Gluck
tt4981636,nm0334179,Lauren Graham
tt4981636,nm6835961,Alexa Nisenson
tt4253360,nm1058565,Jung-min Hwang
tt4253360,nm1049968,Kim In-kwon
tt4253360,nm3075358,Woo Jung
tt0101516,nm0000886,Warren Beatty
tt0101516,nm0000906,Annette Bening
tt0101516,nm0000172,Harvey Keitel
tt0094933,nm0000598,Dennis Quaid
tt0094933,nm0000212,Meg Ryan
tt0094933,nm0001648,Charlotte Rampling
tt7941892,nm2569233,Yûki Kaji
tt7941892,nm3426369,Yui Ishikawa
tt7941892,nm2095800,Marina Inoue
tt2534660,nm1067265,Laura Peterson
tt2534660,nm2869384,Tarmo Song
tt2534660,nm5385698,Mirt Preegel
tt0061209,nm0366946,Elizabeth Hartman
tt0061209,nm0656183,Geraldine Page
tt0061209,nm0001800,Rip Torn
tt9816970,nm2546442,Javad Ezati
tt9816970,nm7922387,Hadi Hejazifar
tt9816970,nm3443995,Behnoosh Tabatabaei
tt2319580,nm2018237,Taylor Kitsch
tt2319580,nm0322407,Brendan Gleeson
tt2319580,nm0049313,Liane Balaban
tt0009652,nm0681933,Mary Pickford
tt0009652,nm0914003,Ida Waterman
tt0009652,nm0822059,Herbert Standing
tt1483753,nm2539953,Alicia Vikander
tt1483753,nm0297076,Samuel Fröler
tt1483753,nm1344240,Josephine Bauer
tt0499101,nm0900915,Jürgen Vogel
tt0499101,nm0863787,Sabine Timoteo
tt0499101,nm0377333,André Hennicke
tt0464184,nm0452714,Oscar Kightley
tt0464184,nm2060029,Iaheto Ah Hi
tt0464184,nm0500955,Shimpal Lelisi
tt0050928,nm0001847,Richard Widmark
tt0050928,nm0865262,Richard Todd
tt0050928,nm0906932,Anton Walbrook
tt0887745,nm0000722,Joss Ackland
tt0887745,nm2017943,Hayley Atwell
tt0887745,nm0103699,Orla Brady
tt0255373,nm0482320,Mohanlal
tt0255373,nm0820208,Sreenivasan
tt0255373,nm0882219,Urvashi
tt2409300,nm0457556,Kazuki Kitamura
tt2409300,nm2680798,Oka Antara
tt2409300,nm3140698,Rin Takanashi
tt0059114,nm0312575,Giuliano Gemma
tt0059114,nm0302837,Evelyn Stewart
tt0059114,nm0187584,Pierre Cressoy
tt0092637,nm0001133,Brian Dennehy
tt0092637,nm0916050,Chloe Webb
tt0092637,nm0933727,Lambert Wilson
tt2980648,nm0000545,Helen Mirren
tt2980648,nm0700875,Om Puri
tt2980648,nm2110485,Manish Dayal
tt0065916,nm0001967,Peter Boyle
tt0065916,nm0665838,Dennis Patrick
tt0065916,nm0000215,Susan Sarandon
tt0123755,nm0207498,Nicole de Boer
tt0123755,nm0935659,Maurice Dean Wint
tt0123755,nm0382110,David Hewlett
tt4072326,nm4682935,Adam Bakri
tt4072326,nm1482999,María Valverde
tt4072326,nm0001597,Mandy Patinkin
tt0074718,nm0102078,Myriam Boyer
tt0074718,nm0081175,Jean-Luc Bideau
tt0074718,nm0591877,Miou-Miou
tt0070641,nm0002231,Gian Maria Volontè
tt0070641,nm0308236,Fabio Garriba
tt0070641,nm0851384,Carla Tatò
tt0280990,nm0618651,Samy Naceri
tt0280990,nm0536095,Benoît Magimel
tt0280990,nm0268626,Nadia Farès
tt0019412,nm0516001,Harold Lloyd
tt0019412,nm0160680,Ann Christy
tt0019412,nm0940437,Bert Woodruff
tt0375679,nm0000332,Don Cheadle
tt0375679,nm0000113,Sandra Bullock
tt0375679,nm0628601,Thandiwe Newton
tt0441774,nm0000237,John Travolta
tt0441774,nm0000161,Salma Hayek
tt0441774,nm0001467,Jared Leto
tt3335606,nm1954240,Teresa Palmer
tt3335606,nm0726262,Max Riemelt
tt3335606,nm0352278,Matthias Habich
tt0086079,nm0002010,Christian Clavier
tt0086079,nm0301556,Michel Galabru
tt0086079,nm0320801,Roland Giraud
tt0425601,nm1036211,Robb Wells
tt0425601,nm1033215,John Paul Tremblay
tt0425601,nm1034266,Mike Smith
tt1151923,nm0306357,Martina García
tt1151923,nm0844761,Gustavo Sánchez Parra
tt1151923,nm1828251,Tanya De Roberto
tt5946128,nm1017633,Alia Bhatt
tt5946128,nm0451321,Shah Rukh Khan
tt5946128,nm1577858,Kunal Kapoor
tt0028773,nm0796662,Sylvia Sidney
tt0028773,nm0566948,Joel McCrea
tt0028773,nm0000007,Humphrey Bogart
tt10483386,nm1303433,John Abraham
tt10483386,nm1431656,Emraan Hashmi
tt10483386,nm0542498,Mahesh Manjrekar
tt0086320,nm0741378,Felissa Rose
tt0086320,nm0862962,Jonathan Tiersten
tt0086320,nm0276290,Karen Fields
tt4047112,nm3684167,Vishnu Vishal
tt4047112,nm4248233,Sri Divya
tt4047112,nm4262344,Soori
tt3416742,nm1318596,Jemaine Clement
tt3416742,nm0169806,Taika Waititi
tt3416742,nm1129962,Cori Gonzalez-Macuer
tt8311958,nm0655943,Dira Paes
tt8311958,nm2553980,Julio Machado
tt8311958,nm10974550,Antonio Pastich
tt2538222,nm0305558,Gael García Bernal
tt2538222,nm1531585,Verónica Echegui
tt2538222,nm3358233,Ashley Hinshaw
tt0074947,nm0447515,Josef Kemr
tt0074947,nm0006664,Zdenek Sverák
tt0074947,nm0464495,Daniela Kolárová
tt0173024,nm0586450,Viktor Mikhaylov
tt0173024,nm0538255,Vera Mayorova
tt0173024,nm0516410,Vadim Lobanov
tt5275476,nm1083116,Jan Henrik Stahlberg
tt5275476,nm4453291,Franz Rogowski
tt5275476,nm0046157,Thomas Bading
tt8783532,nm1581208,Zita Hanrot
tt8783532,nm10948328,Liam Pierron
tt8783532,nm2245673,Soufiane Guerrab
tt1270797,nm0362766,Tom Hardy
tt1270797,nm0931329,Michelle Williams
tt1270797,nm1981893,Riz Ahmed
tt0301181,nm0005517,Gabrielle Union
tt0301181,nm0005112,LL Cool J
tt0301181,nm0040591,Essence Atkins
tt1544600,nm1456571,Michael Joiner
tt1544600,nm3196780,Michael Higgenbottom
tt1544600,nm0001283,Louis Gossett Jr.
tt0772157,nm0000205,Parker Posey
tt0772157,nm0693799,Melvil Poupaud
tt0772157,nm0001687,Gena Rowlands
tt0025452,nm0052203,Leslie Banks
tt0025452,nm0078923,Edna Best
tt0025452,nm0000048,Peter Lorre
tt3863870,nm0834479,Devid Striesow
tt3863870,nm0311476,Martina Gedeck
tt3863870,nm0775858,Karoline Schuch
tt0804505,nm0177933,Chris Cooper
tt0804505,nm0165101,Patricia Clarkson
tt0804505,nm1046097,Rachel McAdams
tt6777056,nm9033063,Atrem Cipin
tt6777056,nm9033062,Olga Dragunova
tt6777056,nm9033060,Veniamin Kac
tt0424273,nm0944464,Yu Xia
tt0424273,nm0508412,Haibin Li
tt0424273,nm1720244,Yijing Zhang
tt0123328,nm0498189,Sam Lee
tt0123328,nm0948016,Neiky Hui-Chi Yim
tt0123328,nm0508334,Wenders Li
tt0043801,nm0879945,Ken Uehara
tt0043801,nm0361697,Setsuko Hara
tt0043801,nm0793616,Yukiko Shimazaki
tt0365514,nm1046946,Hyde
tt0365514,nm1374680,Gackt
tt0365514,nm0910966,Leehom Wang
tt4211044,nm2092886,Jodie Whittaker
tt4211044,nm0038690,Lorraine Ashbourne
tt4211044,nm2073429,Brett Goldstein
tt6615894,nm1335387,Prithviraj Sukumaran
tt6615894,nm0706721,Rahman
tt6615894,nm4198852,Giju John
tt0074254,nm0000056,Paul Newman
tt0074254,nm0001297,Joel Grey
tt0074254,nm0002994,Kevin McCarthy
tt6284064,nm1871951,Leïla Bekhti
tt6284064,nm0081179,Thomas Bidegain
tt6284064,nm0140643,Jean-Claude Carrière
tt0185481,nm0948876,Hideko Yoshida
tt0185481,nm0875364,Masane Tsukayama
tt0185481,nm0594712,Yû Mizushima
tt0042235,nm0800302,Michel Simon
tt0042235,nm0679959,Gérard Philipe
tt0042235,nm0076338,Nicole Besnard
tt1754257,nm2076044,Ben Weaver
tt1754257,nm2168613,Karmine Alers
tt1754257,nm1090486,S. Lue McWilliams
tt0081590,nm0959717,Lasse Åberg
tt0081590,nm0252225,Lottie Ejebrant
tt0081590,nm0804605,Jon Skolmen
tt1274293,nm1504868,Dong-won Gang
tt1274293,nm1280145,Lim Soo-jung
tt1274293,nm2412823,Kim Yoon-seok
tt0095715,nm0463463,Kristýna Kohoutová
tt0095715,nm0694375,Camilla Power
tt0052572,nm0154164,Soumitra Chatterjee
tt0052572,nm0846616,Sharmila Tagore
tt0052572,nm0149845,Alok Chakravarty
tt0267129,nm0068788,Châu Belle Dinh
tt0267129,nm0068819,Williams Belle
tt0267129,nm0228086,Malik Diouf
tt2717860,nm3510471,Sam Claflin
tt2717860,nm1796057,Max Irons
tt2717860,nm3150488,Douglas Booth
tt3452948,nm6223103,Saga Becker
tt3452948,nm3946517,Iggy Malmborg
tt3452948,nm3118731,Shima Niavarani
tt0112922,nm0029962,Álex Angulo
tt0112922,nm0211089,Armando De Razza
tt0112922,nm0782213,Santiago Segura
tt2301592,nm0423526,Brontis Jodorowsky
tt2301592,nm4286535,Pamela Flores
tt2301592,nm5665222,Jeremias Herskovits
tt0807943,nm2059736,Vishnu Manchu
tt0807943,nm1299510,Genelia D'Souza
tt0807943,nm0820240,Srihari
tt0031067,nm0001677,Ginger Rogers
tt0031067,nm0000057,David Niven
tt0031067,nm0002013,Charles Coburn
tt1860353,nm0005351,Ryan Reynolds
tt1860353,nm0316079,Paul Giamatti
tt1860353,nm0748973,Maya Rudolph
tt0283269,nm0728476,Lazar Ristovski
tt0283269,nm0543657,Paulina Manov
tt0283269,nm0322977,Nebojsa Glogovac
tt3687186,nm6663217,Arielle Holmes
tt3687186,nm2655177,Caleb Landry Jones
tt3687186,nm7350709,Buddy Duress
tt2002868,nm1333687,Dhanush
