imdbID,imdbDirectorID,DirectorName
tt10431500,nm3133017,Mehmet Ada Öztekin
tt5158522,nm1463145,Hope Dickson Leach
tt0054821,nm0578483,Jean-Pierre Melville
tt1421048,nm1360971,Shane Dax Taylor
tt0263074,nm0877078,Yavuz Turgul
tt9900782,nm7992231,Lokesh Kanagaraj
tt0983213,nm1396121,Makoto Shinkai
tt6705860,nm2719270,Kent Jones
tt0120082,nm0000127,Wes Craven
tt3305316,nm0081540,Susanne Bier
tt13381376,nm7423090,Pushkar Mahabal
tt0095574,nm0681695,Vasili Pichul
tt0487195,nm1067759,Christopher N. Rowley
tt0189584,nm0841647,John Swanbeck
tt2076850,nm1012385,Roar Uthaug
tt0115650,nm0785684,Coline Serreau
tt0079501,nm0004306,George Miller
tt2636124,nm1496044,Masahiko Murata
tt2636124,nm0457124,Kazuchika Kise
tt4079152,nm3148857,Baoping Cao
tt11655202,nm0421314,Anders Thomas Jensen
tt0075824,nm0000320,Luis Buñuel
tt0067227,nm0001202,Rainer Werner Fassbinder
tt6727296,nm4750968,Ashok G.
tt1839494,nm1396121,Makoto Shinkai
tt1854513,nm0074311,Pablo Berger
tt0220631,nm0898063,Agustí Villaronga
tt0248408,nm0378660,Michael Herbig
tt10692888,nm10860236,JJ Fredrick
tt1413529,nm1327703,Yoshihiro Nakamura
tt1196204,nm0315041,Ricky Gervais
tt1196204,nm0580351,Stephen Merchant
tt4569240,nm0687751,Rodrigo Plá
tt0036699,nm0939992,Sam Wood
tt4003440,nm0001885,Lars von Trier
tt5308322,nm0484907,Christopher Landon
tt3001638,nm1293225,Omung Kumar
tt0988982,nm1145578,Hajime Kamegaki
tt0087432,nm0348321,Hrafn Gunnlaugsson
tt1650453,nm0466153,Hirokazu Koreeda
tt0026056,nm0828419,George Stevens
tt5287168,nm1840544,Amanda Kernell
tt6336356,nm0948488,Hiromasa Yonebayashi
tt6336356,nm1099016,Giles New
tt1737237,nm0948145,Wai-Man Yip
tt3499048,nm2091911,Alonso Ruizpalacios
tt0019702,nm0000033,Alfred Hitchcock
tt0249336,nm0417386,Jandhyala
tt0308280,nm0796504,Siddique
tt0062767,nm0291035,Melvin Frank
tt0059646,nm0000591,Roman Polanski
tt2387627,nm2343528,Meenu Gaur
tt2387627,nm0618587,Farjad Nabi
tt8028150,nm1095554,Dana Budisavljevic
tt4425152,nm0445129,Alexandra-Therese Keining
tt0052738,nm0828419,George Stevens
tt0498536,nm0945506,Yasuichirô Yamamoto
tt0222150,nm0846119,Juan Carlos Tabío
tt1668191,nm0877078,Yavuz Turgul
tt0057681,nm0002137,Arthur Hiller
tt5857968,nm6717590,M. Manikandan
tt6598238,nm1840911,Mitja Okorn
tt0416471,nm1656172,Aric Avelino
tt0108394,nm0001425,Krzysztof Kieslowski
tt0405296,nm0000500,Richard Linklater
tt9685342,nm4772813,Yang Lu
tt0290210,nm0583675,Menno Meyjes
tt0418887,nm0236729,Srdjan Dragojevic
tt0102722,nm0000425,Peter Greenaway
tt0081441,nm0371883,Jack Hazan
tt0081441,nm0591275,David Mingay
tt7794524,nm2056772,Vakkantham Vamsi
tt4508986,nm1283973,Abdullah Oguz
tt0049043,nm0054219,Juan Antonio Bardem
tt2908446,nm0777881,Robert Schwentke
tt0139564,nm0654830,François Ozon
tt0027948,nm0000406,John Ford
tt0027948,nm0329574,Leslie Goodwins
tt7142506,nm1402184,Rohena Gera
tt8665634,nm8423987,Jagdeep Sidhu
tt2085002,nm3307527,Gabriela Pichler
tt0087821,nm0006445,Éric Rohmer
tt3102440,nm0117556,Hallvard Bræin
tt6405208,nm8696061,Narthan
tt2461340,nm4041027,Bank Tangjaitrong
tt0091983,nm0001129,Jonathan Demme
tt0065086,nm0000265,Robert Altman
tt1508290,nm0906709,Kôji Wakamatsu
tt0031359,nm0225555,Thorold Dickinson
tt0075467,nm0299586,Zoltán Fábri
tt0076252,nm0419019,Risto Jarva
tt5517438,nm1202806,Roger Gual
tt6730898,nm1556957,Daniel Fabelo
tt6730898,nm0401502,Matt Hullum
tt0157339,nm0154113,Basu Chatterjee
tt1020972,nm1317258,Yang Li
tt0226874,nm0411746,Shun'ya Itô
tt0419279,nm0740213,Darrell Roodt
tt7700730,nm1999473,Shoojit Sircar
tt0275230,nm0457541,Hiroyuki Kitakubo
tt0472160,nm0657372,Mark Palansky
tt4076058,nm2546059,Burhan Qurbani
tt1695831,nm1242172,Rúnar Rúnarsson
tt0785035,nm1388074,Tony Jaa
tt0785035,nm1437277,Panna Rittikrai
tt7336446,nm1626707,Selahattin Sancakli
tt0356922,nm0687913,Bruno Podalydès
tt0097770,nm0283500,John Flynn
tt0157154,nm0310597,Víctor Gaviria
tt0104155,nm0822582,Richard Stanley
tt8191502,nm5396854,Go-Woon Jeon
tt0381442,nm1193701,Tristan Aurouet
tt0381442,nm0500976,Gilles Lellouche
tt1314280,nm0513371,Philippe Lioret
tt0408017,nm1463981,Cagan Irmak
tt0084649,nm0089940,Don Bluth
tt0250125,nm0051999,Rakhshan Banietemad
tt0972544,nm1641117,Alex Pettyfer
tt0338348,nm0000709,Robert Zemeckis
tt0997084,nm2293309,Atsuji Shimizu
tt0892318,nm0935095,Gary Winick
tt0439533,nm0408043,Hiroyuki Imaishi
tt0906778,nm0644309,Paula van der Oest
tt0120122,nm0777447,Stefan Schwartz
tt0026073,nm0828419,George Stevens
tt1845838,nm1193346,Sean Ellis
tt0119347,nm0935863,Michael Winterbottom
tt3186318,nm0133773,Kat Candler
tt14217100,nm3204725,Cecilia Verheyden
tt0107920,nm0516360,Ken Loach
tt0085900,nm0220227,Jacques Deray
tt0985694,nm0542450,Ethan Maniquis
tt0985694,nm0001675,Robert Rodriguez
tt1653911,nm0299677,René Féret
tt0084518,nm0049494,Roman Balayan
tt6937368,nm5121513,Jonathan Augustin
tt0431979,nm0064741,Xavier Beauvois
tt4660736,nm3008853,Junfeng Boo
tt1348327,nm0415245,Benoît Jacquot
tt1618434,nm1760830,Kyle Newacheck
tt0070439,nm0698779,Francesco Prosperi
tt0070439,nm0752922,Eldar Ryazanov
tt0039826,nm0908831,Richard Wallace
tt0996605,nm0393394,Christophe Honoré
tt0151582,nm0266684,Hampton Fancher
tt2553424,nm2028209,Hugh Sullivan
tt0072976,nm0001202,Rainer Werner Fassbinder
tt4919484,nm0755158,Ira Sachs
tt1891769,nm0481451,Jean-François Laguionie
tt4258292,nm1069826,Gautham Vasudev Menon
tt3894190,nm0613359,Francesco Munzi
tt0125659,nm0024622,Alejandro Amenábar
tt0159995,nm0179968,David L. Corley
tt0040512,nm0287988,Norman Foster
